Year,Movie_Title,New ROI,N_Genre1_Tag_Female,N_Genre1_Tag_Male,N_Genre2_Tag_Female,N_Genre2_Tag_Male,N_Genre3_Tag_Female,N_Genre3_Tag_Male,N_#_of_Female_Cast,N_#_of_Male_Cast,N_#_of_Female_Dialogue,N_#_of_Male_Dialogue,N_#_of_Female_Crew,N_#_of_Male_Crew,N_Sentiment_Female,N_Sentiment_Male,N_noun_count_male,N_noun_count_female,N_verb_count_male,N_verb_count_female,N_adjective_count_male,N_adjective_count_female,IMDB_Rating,Bechdel_Scores,labels,All_param_cluster_label,Female_param_cluster_label
1999,10 things i hate about you,2.342385375,0.5461997679999999,0.411519388,0.573738877,0.657457387,0.0,0.0,0.35714285700000004,0.176470588,0.35287081299999995,0.30994152,0.224489796,0.19047619,0.438761561,0.524804404,0.676230076,0.292687064,0.859228707,0.563907822,0.6942800790000001,0.242458593,6.9,3,1,3,0
1968,2001: a space odyssey,5.542857143,0.770684684,0.361279316,0.569518227,0.7236158420000001,0.427798037,0.546266402,0.14285714300000002,0.294117647,0.020334928,0.210526316,0.040816327,0.119047619,1.0,0.8028647,0.634368612,0.289683713,0.800369478,0.411764706,0.654169361,0.184372257,8.4,0,2,0,1
1982,48 hrs.,5.572375667,0.60213951,0.352287779,0.5454707,0.65694819,0.6804121679999999,0.694522286,0.5,0.235294118,0.130382775,0.3893066,0.020408163,0.095238095,0.29853776,0.468489884,0.64082101,0.348827471,0.85179827,0.619230769,0.662022255,0.269900497,6.9,2,0,1,1
1999,8mm,1.415467475,0.764362222,0.577974998,0.583637223,0.728206751,0.284853329,0.374204397,0.214285714,0.323529412,0.04784689,0.451963241,0.306122449,0.476190476,0.128458756,0.48694216,0.595768549,0.34536318,0.840725827,0.574358974,0.6316206320000001,0.227951153,6.3,1,3,2,2
1988,a nightmare on elm street 4: the dream master,9.357142857,0.976941299,0.983721719,0.78225585,0.86498987,0.434504452,0.455947756,0.35714285700000004,0.05882352900000001,0.108851675,0.050960735,0.06122449,0.079365079,0.200995157,0.355703076,0.5248933139999999,0.29589122100000004,0.7698603079999999,0.5115384620000001,0.296896087,0.202809482,5.2,3,2,0,1
1997,air force one,2.707722459,0.4824129720000001,0.442940865,0.421197356,0.475388325,0.31648748600000004,0.34359342600000004,0.35714285700000004,0.5,0.104066986,0.232247285,0.653061224,0.523809524,0.453845409,0.494873603,0.656949807,0.303791686,0.872654156,0.445454545,0.660805861,0.189959295,6.3,1,2,0,2
1980,airplane!,22.84386829,0.5410574810000001,0.393026026,0.5130403570000001,0.685739586,0.0,0.0,0.571428571,0.323529412,0.100478469,0.124477861,0.081632653,0.19047619,0.606671772,0.620057211,0.598826099,0.360488574,0.678311263,0.558113419,0.501424501,0.247085739,7.8,3,2,0,0
1988,alien nation,1.009690438,0.743103015,0.604963708,0.4673254,0.490431618,0.597174875,0.5440668129999999,0.214285714,0.264705882,0.035885167,0.237259816,0.204081633,0.198412698,0.7192929109999999,0.535449215,0.670385688,0.257956449,0.8198601320000001,0.418803419,0.6704991339999999,0.266998342,6.1,1,0,1,1
1986,aliens,8.908997568,0.585131929,0.409593403,0.480220962,0.54873589,0.320875264,0.399045183,0.214285714,0.264705882,0.20813397100000008,0.152046784,0.14285714300000002,0.23015873,0.3621404620000001,0.563901752,0.582494091,0.332705193,0.86333194,0.495833333,0.630593741,0.248134328,8.5,3,2,0,1
1984,amadeus,1.8873905,0.4177701620000001,0.23393822,0.412104541,0.544320138,0.630999646,0.731662185,0.28571428600000004,0.6764705879999999,0.19138756,0.7050960740000001,0.12244898,0.158730159,0.468034801,0.755048333,0.605355355,0.310470385,0.822101541,0.5049180329999999,0.609102199,0.252116467,8.4,3,3,2,1
